,area,latitude,longitude,bathrooms,price
0,629.0,19.0327996,72.89635679999999,2.0,22.4
1,974.0,19.0327996,72.89635679999999,2.0,35.0
2,968.0,19.0856,72.909277,3.0,31.7
3,629.0,19.155756,72.846862,2.0,18.7
4,1090.0,19.177555,72.849887,2.0,13.5
5,630.0,19.148058,72.937725,2.0,13.0
6,1188.0,19.1549192106419,72.84356576222049,2.0,20.7
7,968.0,19.147269,72.848351,3.0,22.9
8,820.0,19.0151285,72.8580644,2.0,17.0
9,3260.0,19.001640226154105,72.826532,3.0,81.0
10,2500.0,19.157602,72.945243,4.0,46.0
11,1085.0,19.1595755,72.9465747,3.0,34.0
12,1500.0,19.116129,72.82195899999999,2.0,65.0
13,891.0,18.9249211,72.82972240000001,3.0,20.3
14,800.0,19.07907,72.907976,2.0,25.0
15,1020.0,19.133092,72.93475,3.0,21.0
16,3180.0,19.05749,72.850961,4.0,102.0
17,1000.0,19.233531951904297,72.83919525146484,3.0,22.5
18,1058.0,19.176718,72.944581,2.0,19.0
19,875.0,19.1746739,72.94310379999999,2.0,15.5
20,1500.0,19.1040673,72.91767840000001,3.0,25.0
21,1600.0,19.1746739,72.94310379999999,3.0,22.5
22,2430.0,19.1547839,72.8540607,4.0,55.0
23,688.0,19.170591,72.937278,2.0,15.0
24,950.0,19.13735580444336,72.83695220947266,2.0,23.9
25,900.0,19.12842,72.81988,2.0,25.0
26,2135.0,19.004138,72.82701329999999,5.0,69.0
27,1412.0,19.29123434,72.87967664,3.0,9.75
28,1450.0,19.216866,72.86649054,3.0,25.5
29,1765.0,19.0038320445835,72.8505157603601,2.0,39.8
30,1818.0,18.9871633297704,72.82989199332809,3.0,47.5
31,1355.0,19.11366241,72.84480702,3.0,34.0
32,1415.0,19.1714,72.940339,3.0,46.3
33,1045.0,19.293286,72.869699,2.0,8.6
34,965.0,19.028609,72.8794,2.0,20.0
35,2560.0,19.157602,72.945243,3.0,33.5
36,1500.0,18.99706,72.818401,3.0,62.5
37,2195.0,19.16989,72.863761,4.0,47.0
38,1175.0,19.057437,72.905785,2.0,18.5
39,983.0,19.03731,72.87871,2.0,28.0
40,1031.0,19.16885607,72.87786054,2.0,12.5
41,1255.0,19.1590077,72.86927109999999,2.0,15.5
42,1600.0,19.03731,72.87871,3.0,36.5
43,2500.0,19.0531452,72.902321,4.0,44.5
44,950.0,19.398905,72.84184,2.0,4.85
45,2800.0,19.183819,72.86111600000001,4.0,40.6
46,1350.0,19.02814292907715,72.87950134277344,2.0,26.0
47,2205.0,19.1547839,72.8540607,3.0,41.5
48,1976.0,19.046912,72.90759,2.0,60.0
49,1060.0,19.2874366666667,72.877361,3.0,9.42
50,1084.0,19.058647,72.879248,2.0,15.2
51,1650.0,19.171175,72.94032800000001,3.0,26.4
52,913.0,19.24198,72.83565,2.0,14.6
53,1034.0,19.2248756,72.86314300000001,3.0,32.5
54,1260.0,19.023906707763672,72.86747741699219,3.0,27.5
55,1175.0,19.043911,72.89877800000001,2.0,17.5
56,1100.0,19.133092,72.93475,2.0,17.0
57,3000.0,19.138865,72.834731,4.0,120.0
58,1094.0,19.046959,72.915291,3.0,30.0
59,1550.0,19.1714,72.940339,3.0,27.0
60,1181.0,19.068051,72.89605,2.0,15.3
61,875.0,19.0175169,72.84711690000002,2.0,36.0
62,1669.0,19.081175,72.84143900000001,3.0,63.0
63,1035.0,19.10005168,72.88491275,2.0,13.4
64,1775.0,19.0787080118698,72.8402855073601,3.0,55.5
65,2252.0,18.99331,72.847938,3.0,49.0
66,1390.0,19.183819,72.86111600000001,2.0,22.5
67,1014.0,19.16668,72.94845,2.0,18.7
68,2000.0,19.13844,72.812187,3.0,50.0
69,1400.0,19.1709035,72.8510933,2.0,21.2
70,1350.0,19.263496,72.875621,3.0,14.9
71,1545.0,19.28217,72.87654,3.0,12.8
72,1055.0,19.265946,72.880409,2.0,9.6
73,1866.0,19.114625,72.88469599999999,6.0,55.0
74,1070.0,19.259015,72.854824,2.0,13.8
75,1144.0,19.195988,72.868512,2.0,16.8
76,1200.0,19.281902,72.886296,3.0,11.7
77,690.0,19.136906,72.930603,2.0,10.6
78,1000.0,19.032798767089844,72.89635467529297,3.0,30.0
79,950.0,19.03039,72.85475,2.0,30.5
80,1024.0,19.263496,72.875621,2.0,10.4
81,1019.0,19.053375,72.897061,3.0,34.0
82,2377.0,19.18023681640625,72.85541534423828,3.0,38.8
83,1377.0,19.140335,72.8647155,2.0,29.0
84,1507.0,19.156373,72.93894499999999,3.0,25.4
85,2250.0,19.139475,72.864462,4.0,36.0
86,1200.0,19.040233,72.8601801,2.0,13.9
87,1071.0,19.273876,72.880675,2.0,9.0
88,1100.0,19.162992477416992,72.83930206298828,2.0,17.0
89,1600.0,19.171175,72.94032800000001,3.0,27.8
90,1190.0,19.1907193,72.8618457,2.0,17.0
91,950.0,19.057437,72.905785,2.0,18.0
92,1600.0,19.21104,72.869411,2.0,29.6
93,2068.0,19.100385665893555,72.8504638671875,3.0,56.4
94,8000.0,19.0166667,72.8166667,6.0,340.0
95,2017.0,19.1657808,72.934534,3.0,26.7
96,1800.0,19.098821,72.8320717,3.0,60.0
97,1540.0,19.123709,72.89286700000001,3.0,33.5
98,3018.0,19.1746739,72.94310379999999,5.0,54.0
99,1800.0,19.157602,72.945243,3.0,29.0
100,1062.0,19.280103,72.8794099,2.0,8.2
101,4600.0,19.0082903,72.8201324,4.0,230.0
102,1200.0,19.12258624,72.86705,2.0,18.1
103,894.0,19.031132,72.843476,2.0,29.0
104,2410.0,19.100385,72.850466,4.0,73.0
105,1050.0,19.040233,72.8601801,2.0,14.4
106,1031.0,19.282975,72.87361800000001,2.0,7.73
107,974.0,19.2834,72.886291,2.0,8.17
108,1013.0,19.2834,72.886291,2.0,8.3
109,850.0,19.166970000000003,72.83154,2.0,23.5
110,2340.0,19.004529021432425,72.8311680180356,4.0,81.0
111,1013.0,19.2834,72.886291,2.0,7.8
112,1450.0,19.12419,72.83021,3.0,33.5
113,676.0,19.07906913757324,72.90797424316406,2.0,15.0
114,974.0,19.2834,72.886291,2.0,8.28
115,990.0,19.1590077,72.86927109999999,2.0,18.4
116,1000.0,19.043911,72.89877800000001,2.0,22.5
